id,label,parent_ids,common_names,technical_name,short_description,function,location,triggers,upper_lower,sort_order,icon,is_active,source_type,is_scorable,is_default,is_advanced
BACK,Back,[],"[""Back"",""Posterior Chain"",""Lats and Traps""]",Dorsum,The large musculature of the posterior torso.,"Pulling, rowing, and stabilizing the spine and scapula.","Posterior torso, spanning from the base of the neck to the pelvis.",Pulling resistance toward the body; extending the spine.,"[""UPPER""]",13,,TRUE,seed,FALSE,TRUE,FALSE
BACK_TORSO,Back (Torso),"[""BACK""]","[""Back Torso"",""Torso Back"",""Spinal Back"",""Back Panel""]",Dorsum (Torso),"The central back region excluding lats and traps, used to group upper/mid/lower back areas.",Supports spinal and scapular stability during pulling and bracing; provides “back panel” development and posture control.,"Posterior torso along the spine and scapular region, excluding lat “wing” and trap “yoke” emphasis.",Rows/pulls with strict scapular control; spinal bracing/extension work; posture-focused back training.,"[""UPPER""]",14,,TRUE,admin,FALSE,TRUE,FALSE
BACK_LOWER,Lower Back,"[""BACK_TORSO""]","[""Lower Back"",""Lumbar"",""Spinal Erectors""]",Erector Spinae,The lower torso back region responsible for lumbar bracing and spinal extension strength.,Spinal extension and anti-flexion bracing; stabilizes the pelvis and lumbar spine under load.,Lumbar spine region above the pelvis and below the thoracic spine.,Deadlift/hinge variations; good mornings; back extensions; heavy bracing under load.,"[""UPPER""]",15,,TRUE,seed,TRUE,TRUE,FALSE
BACK_MID,Mid Back,"[""BACK_TORSO""]","[""Mid Back"",""Back Thickness"",""Middle Back""]",Regio Dorsalis Media,The mid portion of the torso back region commonly associated with “back thickness.”,Scapular retraction and stabilization during rows; contributes to thoracic posture and pulling strength.,Mid thoracic region between the shoulder blades and mid spine.,"Rows (cable, barbell, machine); isometric scapular retraction; chest-supported rowing.","[""UPPER""]",16,,TRUE,seed,TRUE,TRUE,FALSE
RHOMBOIDS,Rhomboids,"[""BACK_MID""]","[""Rhomboids"",""Inner Back"",""Scapular Retractors""]",Rhomboideus Major et Minor,Deep muscles responsible for strict scapular control.,Squeezing the shoulder blades together strongly.,"Deep to the trapezius, connecting the spine to the scapula.",Strict horizontal pulling and reverse flys.,"[""UPPER""]",17,,TRUE,seed,TRUE,TRUE,FALSE
BACK_UPPER,Upper Back,"[""BACK_TORSO""]","[""Upper Back"",""Top Back"",""Rear Delt Area""]",Thoracica Superior,"The upper portion of the torso back region, emphasizing scapular control and upper-back density.",Scapular control/retraction/depression assistance; supports stable pulling and upright posture.,Upper posterior torso around the upper thoracic spine and upper scapular region.,Chest-supported rows; high rows; rear-delt-adjacent rowing patterns.,"[""UPPER""]",18,,TRUE,seed,TRUE,TRUE,FALSE
LATS,Lats,"[""BACK""]","[""Lats"",""Wings"",""V-Taper""]",Latissimus Dorsi,"The widest muscle of the back, creating a V-taper.",Pulling the arm down toward the pelvis and extending the shoulder.,"Mid-to-lower lateral back, wrapping around the sides.","Vertical pulling (e.g., pull-ups) and horizontal rowing.","[""UPPER""]",19,,TRUE,seed,TRUE,TRUE,FALSE
LATS_LOWER,Lower Lats,"[""LATS""]","[""Bottom Lats"",""Lower Wings"",""V-Taper Base""]",Latissimus Dorsi (Iliac),The sweeping lower fibers of the lats.,Shoulder extension and adduction from an overhead angle.,"The sweeping lower portion of the latissimus dorsi, attaching to the pelvis.","Underhand pulldowns, narrow grip rows, and pullovers.","[""UPPER""]",20,,TRUE,seed,TRUE,TRUE,FALSE
LATS_UPPER,Upper Lats,"[""LATS""]","[""Top Lats"",""Upper Wings""]",Latissimus Dorsi (Thoracic),The upper fibers of the lats near the armpit.,Shoulder adduction from a wide angle.,"The top portion of the latissimus dorsi, pulling horizontally.",Wide-grip pulldowns and high rows.,"[""UPPER""]",21,,TRUE,seed,TRUE,TRUE,FALSE
TERES_MAJOR,Teres Major,"[""LATS""]","[""Teres Major"",""Little Lat"",""Upper Wing""]",Teres Major,A thick muscle that acts as the little helper to the lats.,"Internal rotation, adduction, and extension of the humerus.","Just above the lats, sitting under the armpit and rear delt.",Wide grip pulldowns and straight-arm pulldowns.,"[""UPPER""]",22,,TRUE,seed,TRUE,FALSE,TRUE
TRAPS,Traps,"[""BACK""]","[""Traps"",""Shrug Muscles"",""Yoke""]",Trapezius,The diamond-shaped muscle spanning the neck to the mid-back.,"Elevating, depressing, and retracting the scapula.","Upper back, extending up to the neck and down to the mid-spine.","Shrugging, upright rowing, and stabilizing overhead presses.","[""UPPER""]",23,,TRUE,seed,TRUE,TRUE,FALSE
TRAPS_LOWER,Lower Traps,"[""TRAPS""]","[""Lower Traps"",""Bottom Traps"",""Mid-Back Support""]",Pars Ascendens,Crucial postural muscles for shoulder health.,Depressing the scapula (pulling the shoulders downward).,"The middle back, running down along the thoracic spine.","Y-Raises, reverse decline flys, and strict pulldowns.","[""UPPER""]",24,,TRUE,seed,TRUE,TRUE,FALSE
TRAPS_MID,Mid Traps,"[""TRAPS""]","[""Mid Traps"",""Middle Trapezius"",""Upper Back Thickness""]",Pars Transversa,The thick center of the upper back.,Retracting the scapula (pulling shoulders back).,Between the upper shoulder blades.,Wide-grip rows and reverse flys.,"[""UPPER""]",25,,TRUE,seed,TRUE,TRUE,FALSE
TRAPS_UPPER,Upper Traps,"[""TRAPS""]","[""Upper Traps"",""Neck Muscles"",""Shrug Muscles""]",Pars Descendens,The highly visible neck and shoulder muscles.,Elevating the scapula (shrugging) and extending the neck.,Sloping from the base of the skull down to the shoulders.,Heavy shrugs and farmer's carries.,"[""UPPER""]",26,,TRUE,seed,TRUE,TRUE,FALSE
CHEST,Chest,[],"[""Chest"",""Pecs"",""Push Muscles""]",Musculi Pectorales,The primary pushing muscles of the anterior torso.,Pushing outward and bringing the arms across the midline of the body (adduction).,"Anterior upper torso, covering the ribcage.",Pushing resistance away from the body; hugging or arcing motions.,"[""UPPER""]",27,,TRUE,seed,FALSE,TRUE,FALSE
CHEST_LOWER,Lower Chest,"[""CHEST""]","[""Lower Chest"",""Decline Pecs"",""Bottom Chest""]",Pectoralis Major (Abdominalis),The lower margin of the pectoral muscle.,Pressing downward and adduction from a high angle.,The bottom edge of the pectoral muscles along the lower ribs.,Decline bench presses and high-to-low cable flys.,"[""UPPER""]",28,,TRUE,seed,TRUE,TRUE,FALSE
CHEST_MID,Mid Chest,"[""CHEST""]","[""Mid Chest"",""Flat Bench"",""Inner Chest""]",Pectoralis Major (Sternocostalis),The main bulk of the pectoral muscle.,Straight horizontal pressing and strict adduction.,"The central mass of the chest, connecting to the sternum.",Flat bench presses and mid-level chest flys.,"[""UPPER""]",29,,TRUE,seed,TRUE,TRUE,FALSE
CHEST_UPPER,Upper Chest,"[""CHEST""]","[""Upper Chest"",""Incline Pecs"",""Clavicular Head""]",Pectoralis Major (Clavicularis),The upper margin bridging the chest to the front deltoids.,Pressing upward and lifting the arms across the body.,"The top of the chest, located just below the collarbone.",Incline bench presses and low-to-high scoop flys.,"[""UPPER""]",30,,TRUE,seed,TRUE,TRUE,FALSE
THIGHS,Thighs,"[""LEGS""]","[""Thighs"",""Upper Legs"",""Upper Leg""]",Femur Region,The upper-leg region grouping inner and outer thigh targets for hip control and leg development.,Hip stabilization and leg positioning; integrates adduction/abduction support around the femur during lower-body movement.,"Upper leg between the hip joint and knee, spanning medial (inner) and lateral (outer) thigh regions.",Wide-stance squats/leg press; adductor/abductor machine work; lateral lunges; single-leg stability work.,"[""LOWER""]",30,,TRUE,admin,FALSE,TRUE,FALSE
PEC_MINOR,Pectoralis Minor,"[""CHEST""]","[""Pec Minor"",""Deep Chest"",""Scapular Chest""]",Pectoralis Minor,A deep chest muscle that influences shoulder posture.,Draws the scapula forward and downward.,Deep beneath the upper pectoralis major.,"Dips, pullovers, and deep fly stretches.","[""UPPER""]",31,,TRUE,seed,TRUE,FALSE,TRUE
SHOULDERS,Shoulders,[],"[""Shoulders"",""Delts"",""Shoulder Girdle""]",Deltoideus,The highly mobile muscles capping the shoulder joint.,"Raising the arms overhead, forward, or to the sides; rotating the arm.",The top and lateral sides of the upper torso/arm intersection.,Pressing vertically overhead; raising the arms laterally or frontally.,"[""UPPER""]",32,,TRUE,seed,FALSE,TRUE,FALSE
DELTS,Delts,"[""SHOULDERS""]","[""Delts"",""Deltoids"",""Shoulder Caps""]",Deltoideus,The three-headed shoulder muscle group responsible for most shoulder size and shape.,Overall shoulder abduction and arm positioning; integrates front/side/rear delt function across pressing and raising patterns.,"Capping the shoulder joint, spanning the front, side, and rear of the upper arm/shoulder.","Any shoulder-focused pressing, raising, or fly/retraction patterns that drive overall deltoid development.","[""UPPER""]",33,,TRUE,admin,FALSE,TRUE,FALSE
DELTS_FRONT,Front Delts,"[""DELTS""]","[""Front Delts"",""Anterior Delts""]",Deltoideus Anterior,The front segment of the shoulder.,Raising the arms directly forward and assisting in pressing.,"The front of the shoulder joint, tying into the upper chest.",Front raises and overhead pressing.,"[""UPPER""]",34,,TRUE,seed,TRUE,TRUE,FALSE
DELTS_REAR,Rear Delts,"[""DELTS""]","[""Rear Delts"",""Posterior Delts""]",Deltoideus Posterior,The back segment of the shoulder.,Pulling the arms backward horizontally (transverse abduction).,"The back of the shoulder joint, tying into the upper back.",Reverse flys and face pulls.,"[""UPPER""]",35,,TRUE,seed,TRUE,TRUE,FALSE
DELTS_SIDE,Side Delts,"[""DELTS""]","[""Side Delts"",""Lateral Delts"",""Shoulder Width""]",Deltoideus Lateralis,"The middle segment of the shoulder, creating width.",Raising the arms straight out to the sides (abduction).,"The outermost, lateral cap of the shoulder joint.",Lateral raises and upright rows.,"[""UPPER""]",36,,TRUE,seed,TRUE,TRUE,FALSE
ROTATOR_CUFF,Rotator Cuff,"[""SHOULDERS""]","[""Rotator Cuff"",""Rotator Cuff Group"",""Shoulder Stabilizers"",""Cuff Muscles""]",Rotator cuff muscles,Group of 4 muscles that stabilize the shoulder joint,Shoulder rotation & dynamic stabilization,Around the shoulder joint,"External/internal rotations, face pulls","[""UPPER""]",37,,TRUE,seed,TRUE,TRUE,FALSE
INFRASPINATUS,Infraspinatus,"[""ROTATOR_CUFF""]","[""Outer Cuff"",""External Rotator""]",Infraspinatus,The primary external rotator of the shoulder.,Rotating the arm outward.,The main flat surface of the shoulder blade.,Cable external rotations and face pulls.,"[""UPPER""]",38,,TRUE,seed,TRUE,FALSE,TRUE
SUBSCAPULARIS,Subscapularis,"[""ROTATOR_CUFF""]","[""Front Cuff"",""Internal Rotator""]",Subscapularis,The hidden rotator cuff muscle on the front of the scapula.,Powerful internal rotation of the arm.,Sandwiched between the ribcage and the shoulder blade.,Cable internal rotations.,"[""UPPER""]",39,,TRUE,seed,TRUE,FALSE,TRUE
SUPRASPINATUS,Supraspinatus,"[""ROTATOR_CUFF""]","[""Upper Cuff"",""Abduction Initiator""]",Supraspinatus,The most frequently injured rotator cuff muscle.,Initiates arm abduction (the first 15 degrees).,"Top of the shoulder blade, running under the AC joint.",Empty can raises and light lateral raise initiations.,"[""UPPER""]",40,,TRUE,seed,TRUE,FALSE,TRUE
TERES_MINOR,Teres Minor,"[""ROTATOR_CUFF""]","[""Lower Cuff"",""External Rotator Helper""]",Teres Minor,Assists the infraspinatus in rotation and stability.,External rotation and adduction of the humerus.,Just below the infraspinatus on the shoulder blade.,Banded external rotations.,"[""UPPER""]",41,,TRUE,seed,TRUE,FALSE,TRUE
NECK,Neck,[],"[""Neck"",""Cervical Spine""]",Cervix,The muscles supporting and articulating the head.,"Head flexion, extension, and lateral rotation.","Cervical spine area, above the collarbone and upper traps.",Nodding the head forward or lifting the head backward.,"[""UPPER""]",42,,TRUE,seed,FALSE,TRUE,FALSE
NECK_EXTENSORS,Neck Extensors,"[""NECK""]","[""Posterior Neck"",""Rear Neck"",""Neck Extensors"",""Cervical Extensors"",""Splenius"",""Neck Harness Target""]",Cervical extensors (splenius),Posterior neck for extensions and harness work,Cervical extension,Posterior neck,Neck extension,"[""UPPER""]",43,,TRUE,seed,TRUE,TRUE,FALSE
NECK_FLEXORS,Neck Flexors,"[""NECK""]","[""Anterior Neck"",""Front Neck"",""Neck Flexors"",""SCM"",""Sternocleidomastoid"",""Neck Curl Target""]",Sternocleidomastoid,Primary anterior neck for flexion and harness curls,Cervical flexion,Anterior neck,Neck flexion,"[""UPPER""]",44,,TRUE,seed,TRUE,TRUE,FALSE
NECK_LATERAL,Lateral Neck,"[""NECK""]","[""Lateral Neck"",""Side Neck"",""Neck Side"",""Neck Lateral Flexors""]",Cervical lateral flexors,The side-of-neck musculature responsible for thickening the “neck width” look and stabilizing the head under load.,Lateral flexion of the neck; assists head rotation and stabilization against side-loading.,Lateral cervical region from behind the ear down toward the upper traps/collarbone area.,Neck harness lateral flexion; manual-resisted side bends of the head; side planks with head/neck stability focus.,"[""UPPER""]",45,,TRUE,admin,TRUE,TRUE,FALSE
CORE,Core,[],"[""Core"",""Midsection"",""Abs"",""Trunk""]",Musculi Abdominis,The stabilizing center of the body.,"Spinal flexion, rotation, and maintaining rigid torso stability.","The midsection, wrapping around the front and sides of the waist.","Planking, crunching, twisting, or bracing against heavy loads.","[""UPPER""]",46,,TRUE,seed,FALSE,TRUE,FALSE
ABS,Abs,"[""CORE""]","[""Abs"",""Six Pack"",""Abdominals""]",Rectus Abdominis,The segmented muscle responsible for the six-pack look.,Flexing the lumbar spine (crunching the torso).,"The center of the stomach, from the ribcage to the pelvis.","Crunches, sit-ups, and leg raises.","[""UPPER""]",47,,TRUE,seed,TRUE,TRUE,FALSE
ABS_LOWER,Lower Abs,"[""ABS""]","[""Lower Abs"",""Bottom Pack"",""V-Line Abs""]",Rectus Abdominis (Inferior),The bottom segments of the abdominal wall.,Pulling the pelvis upward toward the ribcage.,"The lower portion of the stomach, above the groin.",Hanging leg raises and reverse crunches.,"[""UPPER""]",48,,TRUE,seed,TRUE,TRUE,FALSE
ABS_MIDDLE,Middle Abs,"[""ABS""]","[""Middle Abs"",""Mid Abs"",""Center Abs""]",Rectus Abdominis (Intermediate),The central stabilizing segments of the abdominal wall.,Core bracing and trunk stabilization.,The direct center of the stomach.,Isometric holds (planks) and full sit-ups.,"[""UPPER""]",49,,TRUE,seed,TRUE,TRUE,FALSE
ABS_UPPER,Upper Abs,"[""ABS""]","[""Upper Abs"",""Top Pack"",""High Abs""]",Rectus Abdominis (Superior),The top segments of the abdominal wall.,Flexing the upper torso toward the pelvis.,"The top portion of the stomach, just below the sternum.",Standard crunches and cable crunches.,"[""UPPER""]",50,,TRUE,seed,TRUE,TRUE,FALSE
CORE_DEEP,Deep Core,"[""CORE""]","[""Deep Core"",""TVA"",""Corset Muscle""]",Transversus Abdominis,"The deepest core muscle, acting as a natural weight belt.",Pulling the abdominal wall inward; forceful exhalation.,Wrapping horizontally around the entire midsection.,Stomach vacuums and heavy intra-abdominal bracing.,"[""UPPER""]",51,,TRUE,seed,TRUE,TRUE,FALSE
HIP_FLEXORS,Hip Flexors,"[""CORE""]","[""Hip Flexors"",""Psoas"",""Hip Fold""]",Iliopsoas,The deep muscles linking the lower spine to the legs.,Bringing the knees up toward the chest (hip flexion).,Deep within the front of the hip and lower abdomen.,"Hanging leg raises, high knees, and sit-ups.","[""UPPER""]",52,,TRUE,seed,TRUE,TRUE,FALSE
OBLIQUES,Obliques,"[""CORE""]","[""Obliques"",""Side Abs"",""Waist""]",Musculi Obliqui,The diagonal muscles controlling torso rotation.,Rotating the torso and bending sideways.,The sides of the waist and lower ribcage.,"Russian twists, woodchops, and side bends.","[""UPPER""]",53,,TRUE,seed,TRUE,TRUE,FALSE
OBLIQUES_LOWER,Lower Obliques,"[""OBLIQUES""]","[""Lower Obliques"",""V-Line"",""Side V""]",Obliquus Externus (Inferior),Rotational muscles controlling the pelvis.,Pelvic rotation and lateral spinal flexion.,"The lower sides of the waist, above the hips.",Side bends and low-to-high woodchops.,"[""UPPER""]",54,,TRUE,seed,TRUE,TRUE,FALSE
OBLIQUES_UPPER,Upper Obliques,"[""OBLIQUES""]","[""Upper Obliques"",""Side Ribs"",""Twisting Abs""]",Obliquus Externus (Superior),Rotational muscles tied closely to the ribcage.,Twisting the upper torso diagonally.,"The upper sides of the waist, overlying the lower ribs.",High-to-low cable woodchops and twisting crunches.,"[""UPPER""]",55,,TRUE,seed,TRUE,TRUE,FALSE
QUADRATUS_LUMBORUM,Quadratus Lumborum,"[""CORE""]","[""QL"",""Quadratus Lumborum"",""Side Low Back"",""Lateral Core""]",Quadratus Lumborum,A key lateral core / low-back muscle that builds “side trunk” density and keeps the spine stable under uneven loading.,Lateral flexion of the spine; pelvic hiking; stabilizes the lumbar spine and pelvis (anti-lateral-flexion).,"Deep posterior abdominal wall on either side of the lumbar spine, between the pelvis and lower ribs.",Suitcase carries; side bends; offset-loaded hinges/squats; unilateral farmer carries; anti-lateral-flexion bracing.,"[""UPPER""]",56,,TRUE,admin,TRUE,FALSE,TRUE
SERRATUS,Serratus,"[""CORE""]","[""Serratus"",""Boxer's Muscle"",""Rib Muscles""]",Serratus Anterior,The finger-like muscles sitting on the upper ribs.,Protracting the scapula (punching forward) and upward rotation.,"The side of the ribcage, wrapping under the armpit.","Push-up plus, ab wheel rollouts, and pullovers.","[""UPPER""]",57,,TRUE,seed,TRUE,TRUE,FALSE
LEGS,Legs,[],"[""Legs"",""Lower Body"",""Quads and Hams""]",Membrum Inferius,The primary movers of the lower body.,"Squatting, hinging, walking, and jumping.","The lower limb, from the hip joint down to the ankles.",Pushing against the floor; bending the knees; extending the hips.,"[""LOWER""]",58,,TRUE,seed,FALSE,TRUE,FALSE
CALVES,Calves,"[""LEGS""]","[""Calves"",""Lower Leg"",""Gastrocs""]",Triceps Surae,The muscles on the back of the lower leg.,Plantarflexion (pointing the toes/lifting the heels).,The posterior portion of the lower leg.,Standing or seated heel raises; jumping.,"[""LOWER""]",59,,TRUE,seed,TRUE,TRUE,FALSE
CALF_INNER,Inner Calf,"[""CALVES""]","[""Inner Calf"",""Inner Gastroc"",""Medial Calf""]",Gastrocnemius (Medialis),"The larger, medial belly of the upper calf.",Explosive plantarflexion (lifting the heel).,The inside portion of the upper lower leg.,Standing calf raises with toes pointed slightly outward.,"[""LOWER""]",60,,TRUE,seed,TRUE,TRUE,FALSE
CALF_LOWER,Lower Calf,"[""CALVES""]","[""Lower Calf"",""Soleus"",""Seated Calf""]",Soleus,The endurance muscle sitting beneath the gastroc.,Plantarflexion when the knee is bent.,"The lower half of the calf, down to the Achilles tendon.",Seated calf raises or bent-knee standing raises.,"[""LOWER""]",61,,TRUE,seed,TRUE,TRUE,FALSE
CALF_OUTER,Outer Calf,"[""CALVES""]","[""Outer Calf"",""Outer Gastroc"",""Lateral Calf""]",Gastrocnemius (Lateralis),The outer belly creating calf width.,Plantarflexion and ankle stabilization.,The outside portion of the upper lower leg.,Standing calf raises with toes pointed slightly inward.,"[""LOWER""]",62,,TRUE,seed,TRUE,TRUE,FALSE
GLUTES,Glutes,"[""LEGS""]","[""Glutes"",""Butt"",""Posterior""]",Musculi Glutei,"The largest, most powerful muscle group in the body.","Extending the hip, thrusting the pelvis forward, and hip abduction.",The buttocks.,"Hip thrusts, deep squats, and deadlifts.","[""LOWER""]",63,,TRUE,seed,TRUE,TRUE,FALSE
GLUTE_MAXIMUS,Gluteus Maximus,"[""GLUTES""]","[""Glute Max"",""Main Glute"",""Lower Butt""]",Gluteus Maximus,The primary mass and power engine of the hips.,Powerful hip extension and external rotation.,"The main, visible mass of the buttocks.",Heavy hip thrusts and deep back squats.,"[""LOWER""]",64,,TRUE,seed,TRUE,TRUE,FALSE
GLUTE_MEDIUS,Gluteus Medius,"[""GLUTES""]","[""Glute Medius"",""Upper Glute"",""Side Butt""]",Gluteus Medius,The crucial stabilizer for single-leg movements and pelvic level.,Hip abduction and pelvic stabilization.,"The upper, lateral portion of the hips.","Lateral banded walks, abduction machines, and single-leg squats.","[""LOWER""]",65,,TRUE,seed,TRUE,TRUE,FALSE
GLUTE_MINIMUS,Gluteus Minimus,"[""GLUTES""]","[""Glute Minimus"",""Deep Side Glute""]",Gluteus Minimus,The deepest gluteal muscle.,Hip abduction and internal rotation.,Deep beneath the gluteus medius.,Seated abduction and internal rotation exercises.,"[""LOWER""]",66,,TRUE,seed,TRUE,TRUE,FALSE
HAMSTRINGS,Hamstrings,"[""LEGS""]","[""Hamstrings"",""Hams"",""Back of Thigh""]",Musculi Ischiocrurales,The pulling muscles of the lower body.,Bending the knee (flexion) and assisting in hip extension.,The posterior aspect of the thigh.,Leg curls and stiff-legged deadlifts (RDLs).,"[""LOWER""]",67,,TRUE,seed,TRUE,TRUE,FALSE
HAMSTRING_INNER,Inner Hamstring,"[""HAMSTRINGS""]","[""Inner Hamstring"",""Medial Hamstring""]",Semitendinosus / Semimembranosus,The medial pulling muscle of the back thigh.,Knee flexion and medial hip rotation.,The inner posterior aspect of the thigh.,Leg curls with feet turned slightly inward.,"[""LOWER""]",68,,TRUE,seed,TRUE,TRUE,FALSE
SEMIMEMBRANOSUS,Semimembranosus,"[""HAMSTRING_INNER""]","[""Semimembranosus"",""Inner Hamstring"",""Deep Medial Hamstring""]",Semimembranosus,"A deep medial hamstring that contributes to hamstring thickness and knee stability, especially near the inner back of the knee.",Knee flexion; hip extension; assists internal rotation of the tibia and supports posterior knee stability.,"Deep posterior-medial thigh, running from the pelvis to the medial side of the tibia behind the knee.",Hamstring curls (toes slightly out / tibial internal rotation bias); Romanian deadlifts; good mornings; glute-ham raises.,"[""LOWER""]",69,,TRUE,admin,TRUE,FALSE,TRUE
SEMITENDINOSUS,Semitendinosus,"[""HAMSTRING_INNER""]","[""Semitendinosus"",""Inner Hamstring"",""Medial Hamstring""]",Semitendinosus,A more superficial medial hamstring that helps build inner-hamstring shape and supports knee flexion/hip extension work.,Knee flexion; hip extension; assists internal rotation of the tibia; supports hip and knee stability during gait.,"Posterior-medial thigh, superficial to semimembranosus, running toward the inner knee region.",Hamstring curls (toes slightly out / internal-rotation bias); Romanian deadlifts; Nordic curls; glute-ham raises.,"[""LOWER""]",70,,TRUE,admin,TRUE,FALSE,TRUE
HAMSTRING_OUTER,Outer Hamstring,"[""HAMSTRINGS""]","[""Outer Hamstring"",""Lateral Hamstring""]",Biceps Femoris,The lateral pulling muscle of the back thigh.,Knee flexion and lateral hip rotation.,The outer posterior aspect of the thigh.,Leg curls with feet turned slightly outward.,"[""LOWER""]",71,,TRUE,seed,TRUE,TRUE,FALSE
QUADS,Quads,"[""LEGS""]","[""Quads"",""Thighs"",""Front of Leg""]",Quadriceps Femoris,The pushing muscles of the lower body.,Straightening the knee (extension).,The anterior (front) aspect of the thigh.,"Leg extensions, forward lunges, and front squats.","[""LOWER""]",72,,TRUE,seed,TRUE,TRUE,FALSE
QUAD_DEEP,Deep Quad,"[""QUADS""]","[""Deep Quad"",""Under Quad"",""Vastus Intermedius""]",Vastus Intermedius,The unseen base muscle of the quadriceps.,Foundational knee extension.,Deep beneath the rectus femoris.,Any heavy squatting or pressing motion.,"[""LOWER""]",73,,TRUE,seed,TRUE,TRUE,FALSE
